scope	model	layer_index	rank	c2_var_ratio_threshold	c2_var_excess_floor	c3_v2_drop_fraction	pass_rate	n
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	8	3.0	0.05	0.2	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	16	3.0	0.05	0.2	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	32	3.0	0.05	0.2	1.0	1
by_model_layer_rank	gpt2	4	4	3.0	0.05	0.2	0.0	1
by_model_layer_rank	gpt2	4	8	3.0	0.05	0.2	0.0	1
by_model_layer_rank	gpt2	4	16	3.0	0.05	0.2	1.0	1
by_model_layer_rank	gpt2	4	32	3.0	0.05	0.2	1.0	1
overall				3.0	0.05	0.2	0.6447368421052632	152
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	4	3.0	0.05	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	8	3.0	0.05	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	2	16	3.0	0.05	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	4	3.0	0.05	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	8	3.0	0.05	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-14m-deduped	4	16	3.0	0.05	0.25	0.0	1
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	8	3.0	0.05	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	16	3.0	0.05	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	3	32	3.0	0.05	0.25	0.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	8	3.0	0.05	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	16	3.0	0.05	0.25	1.0	23
by_model_layer_rank	EleutherAI/pythia-160m-deduped	4	32	3.0	0.05	0.25	0.0	23
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	4	3.0	0.05	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	8	3.0	0.05	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	16	3.0	0.05	0.25	1.0	1
by_model_layer_rank	EleutherAI/pythia-70m-deduped	4	32	3.0	0.05	0.25	1.0	1
by_model_layer_rank	gpt2	4	4	3.0	0.05	0.25	0.0	1
by_model_layer_rank	gpt2	4	8	3.0	0.05	0.25	0.0	1
by_model_layer_rank	gpt2	4	16	3.0	0.05	0.25	1.0	1
by_model_layer_rank	gpt2	4	32	3.0	0.05	0.25	0.0	1
overall				3.0	0.05	0.25	0.6381578947368421	152
